,"The Givers' Guide is a Project Created and Coordinated by Frayde Yudkowsky, LSW, LMSW, CTP. The Givers' Guide is a constant work in progress. Please email any corrections, additions or changes to Hello@GiversGuide.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis Treatment,Mental Health,"Agripas 88 Suite 21 Jerusalem, Israel 9451309",Israel,(IL) 09-376-1555, (561) 427-7775,,"Chana Sacks, PhD",info@genesisisrael.com,"Genesis Israel combines innovative therapy and real life experiences to champion mental health and addiction treatment and foster personal well-being. 
Residential program, outpatient program and gap year support.",genesisisrael.com ,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Help Israel,Mental Health,"19 King David Street, Jerusalem, Israel 91401",Israel and the US,1-347-763-9846,972549144074,NA,Ira Prochko,ira@gethelpisrael.com,Get Help Israel - The Israel Association for Mental Health Professionals - is the leading organization dedicated to empowering and supporting Israel's English-speaking public and professional community in the field of mental health,https://gethelpisrael.com/,https://www.facebook.com/gethelpisrael,https://www.instagram.com/gethelpisrael/,NA,https://www.linkedin.com/company/get-help-israel/posts/?feedView=all,Thank you for compiling this incredible resource!,,,,,,,,,,,,,,,,,,,,,
Maalah,Child Development Center,"4403 15th Ave Suite 508, Brooklyn NY 11219",Israel,,,,,,"Free/subsidized therapy for mainstreamed children. Addresses delays at a young age and gives them the chance to live up to their full physical, mental, emotional and educational potential. Physical, music, occupational, reading, speech, emotional, vision and physiotherapy. Holistic action plans, case management and follow up.",maalah.org  ,,,,,,,,,,,,,,,,,,,,,,,,,,
Machon Aley Ohr,Behavioral Health and OT Clinic,"Jerusalem, Bnei Brak, Modiin Illit, Beit Shemesh & Ashdod",Israel,737319183.0,US (718) 928-9564,,,office@aleyor.org.il,"Machon Aley Ohr and NeuroQ exist to make positive change in the lives of children and adolescents who struggle with academic, social or sensory problems. Our innovative approach and friendly experts help you experience the joy of watching your child excel and thrive into adulthood. For ages 4-20.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Merkaz Techelet,Mental Health Clinic,"Nation wide clinics. Kiriat Motzkin, Kiriat Chaim, Chaim, Afula, Kfar Saba, Petach Tikva, Tel Aviv, Rishon Letzion, Rechovot, Yavne, Jerusalem, Kiryat Gat, Beer Sheva ",Israel,"
(03) 9040655 
",Whatsapp  +972 52-378-7151,,,office@merkaztchelet.co.il,"ekhelet Center for Psychology and Education was established in 2014 and specializes in multidisciplinary treatment and diagnosis.
The institute's staff  is proud to provide a response each year to hundreds of children, teenagers and adults who need support and guidance at certain moments in their lives, at key crossroads, in their studies or in their personal lives.
The institute provides a response to children from the age of 4 to adolescents, students before the military, discharged, students and includes professional guidance, couple therapy, parent guidance and more. ",https://merkaztchelet.co.il/%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%94%d7%9e%d7%a8%d7%9b%d7%96/,,,,,,,,,,,,,,,,,,,,,,,,,,
The Place,Mental Health Clinic,,Jerusalem are,(02) 581-8299,(054) 260-1468,,Lena Shore,info@thplace.org.il,"The Place connects the best therapists to you and your unique situation. At The Place, discover the freedom and safety to move past your issues to live your life. Our goal is to help each of our clients discover his or her own strengths as powerful tools in the healing process.",theplace.org.il,https://www.facebook.com/theplacejerusalem,https://www.instagram.com/theplacejerusalem/,,https://www.linkedin.com/company/the-place---the-jerusalem-center-for-emotional-wellbeing,,,,,,,,,,,,,,,,,,,,,,
MENTAL HEALTH REFERRALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Help Israel,Mental Health,Israel,Israel,072-397-1307,072-397-6500,,"Tanya Prochko, Med, MFT",,"Provides Mental Health resources and referrals in English along with a Gap Year Program, Lone Soldier Program, and Professional Development.",gethelpisrael.com,https://www.facebook.com/gethelpisrael,,https://twitter.com/gethelpisrael1,https://www.linkedin.com/company/get-help-israel,,,,,,,,,,,,,,,,,,,,,,
Misgav,Mental Health,23 nadvorna Baetar Illit,israel,02-5808008,052-7628031,02-5807493,Moti Pindrus,mpindrus@misgav.org,Free and Culturally Attuned Matching with Mental Health Specialists,www.misgav.org,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,,,,,,,,,,,,,,,,,,,,,
CLOTHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yad Ezra V'Shulamit,Food,"20 Yoel St., Jerusalem, Israel",Israel,"02-540-0058
02-585-6002",USA: (866) 978-5049,,,feedisrael@yadezra.net,"Providing food for Israel's poor. Children's Centers, food baskets, clothing and supplies, feeding babies and Taft Community Center.",yadezra.net ,https://www.facebook.com/Yadezraenglish ,https://www.instagram.com/yadezravshulamit/ ,https://twitter.com/yadezra_net ,,,,,,,,,,,,,,,,,,,,,,,
Yad Leah,Clothing,"25/3 Kaf Hachaim
Beitar Illit, Israel 99879",Israel,https://wa.me/19739550861,(973) 955-0861,,Karen Thaler,,"Clothing donations to Eretz Yisrael. Yad Leah provides
quality clothing to thousands of needy families across Israel— empowering them with confidence, dignity, and self-respect.",https://yadleah.org/,https://www.facebook.com/YadLeah,https://www.instagram.com/YadLeah/,,,,,,,,,,,,,,,,,,,,,,,,
DATING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samchem Bebinyan Shalem,Shiddichim for those with Medical Challenges,,,073-3744695,,,Rabbi Moshe Meiselish and Rabbi Nachum Frank,3744695@gmail.com,"Having undergone medical struggles ourselves, we are deeply and personally familiar with the difficulty and challenge involved in finding a shidduch when having a medical condition.",samchem.org.il/en,,,,,,,,,,,,,,,,,,,,,,,,,,
The Place-The Jerusalem Centre for Emotional Wellbeing,Psychotherapy Clinic,"2 Sheshet Haymim, Apt 19, Knissa Gimmel, Jerusalem, Israel",Everywhere (we can work virtually),25818299.0,972-54-260-1468,No,Lena Shore,lenashore@theplace.org.il,"The Place connects the best therapists to you and your unique situation. At The Place, discover the freedom and safety to move past your issues to live your life. Our goal is to help each of our clients discover his or her own strengths as powerful tools in the healing process.
 
The Place offers individual therapy; support groups; teletherapy; interactive lectures; and educational classes. Our comfortable and confidential clinic allows you and your family to create positive change. We believe that the key to mental health and emotional wellbeing is inside you.",www.ThePlace.org.il,theplacejerusalem,theplacejerusalem,theplacecentre,ThePlace Jerusalem,Providing top quality therapy and emotional support to improve people's lives,,,,,,,,,,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avi Tenenbaum PFA-Psychological First Aid,Psychological First Aid Response and Education for Trauma & Crisis,"Idelzon street
Ramot Gimel Neighborhood, Jerusalem",Israel and Global. Hebrew and English. Online and in person.,587833143.0,587833143.0,no fax,"Avi Tenenbaum MA, Master Sgt. (v.), EMT-B",info@psychotraumaunit.com,"We have trained over 4000 therapists and first responders on four continents, via workshops and our 16 hour course. We have also set up numerous crisis teams that are embedded in Psychological, EMS, and Paramilitary organizations. We have an exclusive alunmi community of interventionists, who are at the forefront of crisis management in Israel. We maintain contact with alumni of our 16 hour course and offer continued education and opportunities for growth in this field.",www.psychotraumaunit.com,0.0,0.0,0.0,0.0,www.psychotraumaunit.com,,,,,,,,,,,,,,,,,,,,,
The Eden Center,Taharas Hamishpacha,"2 Revadim St, Jerusalem 9339113",Israel,,,,Dr. Naomi Marmon Grumet,info@theedencenter.com,"Enabling all women to have a personally meaningful and welcoming experience in the mikveh, providing support and resources for crisis and lifecycle moments and transforming the mikveh into a vehicle to promote emotional and physical health, intimacy and well-being. Courses and events on labour, delivery and postpartum, tahara, menopause, Mikvah attendant training and kallah teacher training.",theedencenter.com ,https://www.facebook.com/theedencenter/ ,https://www.instagram.com/mercazeden/ ,,,"We have Haskamot from a range of Rabbinic authorities.
For details contact naomi@theEdenCenter.com",,,,,,,,,,,,,,,,,,,,,
Machon Aley Ohr,Behavioral Health and OT Clinic,"Jerusalem, Bnei Brak, Modiin Illit, Beit Shemesh & Ashdod",Israel,737319183.0,US: (718) 928-9564,,,office@aleyor.org.il,"Machon Aley Ohr and NeuroQ exist to make positive change in the lives of children and adolescents who struggle with academic, social or sensory problems. Our innovative approach and friendly experts help you experience the joy of watching your child excel and thrive into adulthood. For ages 4-20.",,,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILY SUPPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eden Center,Taharas Hamishpacha,"2 Revadim St, Jerusalem 9339113",Israel,,,,Dr. Naomi Marmon Grumet,info@theedencenter.com,"Enabling all women to have a personally meaningful and welcoming experience in the mikveh, providing support and resources for crisis and lifecycle moments and transforming the mikveh into a vehicle to promote emotional and physical health, intimacy and well-being. Courses and events on labour, delivery and postpartum, tahara, menopause, Mikvah attendant training and kallah teacher training.",theedencenter.com ,https://www.facebook.com/theedencenter/ ,https://www.instagram.com/mercazeden/ ,,,"We have Haskamot from a range of Rabbinic authorities.
For details contact naomi@theEdenCenter.com",,,,,,,,,,,,,,,,,,,,,
Heart Links by The Place - The Jerusalem Centre for Emotional Wellbeing,Relationship Support,,Israel,(054) 631-5518 (Whatsapp),(02) 581-8299,,"Lena Shore MSc, Rabbi Yitchak Breitowitz",lenaShore@theplace.org.il,Heartlinks is offering a bi-monthly support group for mothers and grandmothers via Zoom. Tp give support and strength to estranged and alienated parents/ grandparents of adult children. 40 nis a session,theplace.org.il,https://www.facebook.com/theplacejerusalem/,https://www.instagram.com/theplacejerusalem/,,https://www.linkedin.com/company/the-place---the-jerusalem-center-for-emotional-wellbeing,,,,,,,,,,,,,,,,,,,,,,
Ohr Haddassah,Support for widows and orphans,"Paran 4 Apartment 409 Ramat Eshkol, Jerusalem, Israel",Israel,(917) 284-9755,(054) 203-2178 (Whatsapp),,Jennifer Kotler,ohrhadassah@gmail.com,"At Ohr Hadassah, we believe that widows and orphans deserve access to resources that can help them lead dignified and fulfilling lives. Our mission is to provide them with practical support and compassionate care, especially during times of hardship and transition.",https://ohrhadassah.org/,,,,,,,,,,,,,,,,,,,,,,,,,,
The Place-The Jerusalem Centre for Emotional Wellbeing,Psychotherapy Clinic,"2 Sheshet Haymim, Apt 19, Knissa Gimmel, Jerusalem, Israel",Everywhere (we can work virtually),25818299.0,972-54-260-1468,No,Lena Shore,lenashore@theplace.org.il,"The Place connects the best therapists to you and your unique situation. At The Place, discover the freedom and safety to move past your issues to live your life. Our goal is to help each of our clients discover his or her own strengths as powerful tools in the healing process.
 
The Place offers individual therapy; support groups; teletherapy; interactive lectures; and educational classes. Our comfortable and confidential clinic allows you and your family to create positive change. We believe that the key to mental health and emotional wellbeing is inside you.",www.ThePlace.org.il,theplacejerusalem,theplacejerusalem,theplacecentre,ThePlace Jerusalem,Providing top quality therapy and emotional support to improve people's lives,,,,,,,,,,,,,,,,,,,,,
Shifra Ve'Pua,Newborn Support,,Jerusalem,"Arnona-Talpiot neighborhood
Contact person: Havi, Tel: (054)-9770573","Kiryat Yovel neighborhood
Contact: person: Nofar, Tel: (050)-4825163",,,,"In accordance with the instructions of the Lubavitcher Rebbe, the important organization ""Shifra Ve'Pua"" - which assists women before childbirth and for several months afterwards - was established.
In order for us to provide you and your family with a comprehensive support system even before the birth, please register on the website and start enjoying the abundance of benefits and assistance services that we have to offer you: breakfasts, Shabbat meals, house cleaning and tidying and babysitting for older children.",https://www.jerusalem.muni.il/en/residents/earlychildhood/additional-advice/sheefraandpoaa/,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebachallah,Challos for the Needy,"Israel
Cong. Lehacyois 51 Forest Rd #316-214 Monroe NY 10950","Tzfat, Israel",(718) 682.2005 ,,,,donate@gebachallah.org,"Warm up a needy home in the holy city of Tzfat with the fresh smell of challah for Shabbos. $3.50 for one challah; $7 for 2.
Join our VIP donor tier, and a Tzfat mekubal will daven for you every Erev Shabbos at the Ari'zals grave for your הצלחה for the coming week.",gebachallah.org ,,,,,A project of Lehachyois.org,,,,,,,,,,,,,,,,,,,,,
Lehachyois,Needy in Safed,"Israel
Cong. Lehacyois 51 Forest Rd #316-214 Monroe NY 10950","Tzfat, Israel",(718) 682.2005 ,,,"Rabbi Moshe Lustig
Rabbi Shlomo Katina",Lehacyois@gmail.com,"Supporting the needy in Tzfat, Israel. Shabbos boxes, yom tov boxes, kimcha d'pischa and matzos boxes.",lehachyois.org ,,,,,,,,,,,,,,,,,,,,,,,,,,
Nachzik Chazak,Support for Widows and Orphans,,Israel,,,,,,"Nachzik Chazak is a 24-hour hotline for widows and orphans, giving them hands-on assistance and support. Some of their services includes home repairs, Yom Tov packages, gifts, clothing, food, and support. ",https://nachzik.org/,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatzmichu,Subsidized Therapy for Seminary Girls,Eretz Yisrael,Eretz Yisrael,,,,Founder - Chaya Schwartz Director - Shiri Feldinger Manager - Hindy Katz Supervision - Rabbi Meir Kahane,office@tatzmichu.org,Tatzmichu is an organization providing subsidized therapy to seminary girls in Israel. Giving struggling seminary girls the opportunity to get professional mental and emotional care they need to thrive and build a healthy future.,tatzmichu.org,,,,,,,,,,,,,,,,,,,,,,,,,,
Yad Ezra V'Shulamit,Food,"20 Yoel St., Jerusalem, Israel",Israel,"02-540-0058
02-585-6002",USA: (866) 978-5049,,,feedisrael@yadezra.net,"Providing food for Israel's poor. Children's Centers, food baskets, clothing and supplies, feeding babies and Tfat Community Center.",yadezra.net ,https://www.facebook.com/Yadezraenglish ,https://www.instagram.com/yadezravshulamit/ ,https://twitter.com/yadezra_net ,,,,,,,,,,,,,,,,,,,,,,,
FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebachallah,Challos for the Needy,"Israel
Cong. Lehacyois 51 Forest Rd #316-214 Monroe NY 10950","Tzfat, Israel",(718) 682.2005 ,,,,donate@gebachallah.org,"Warm up a needy home in the holy city of Tzfat with the fresh smell of challah for Shabbos. $3.50 for one challah; $7 for 2.
Join our VIP donor tier, and a Tzfat mekubal will daven for you every Erev Shabbos at the Ari'zals grave for your הצלחה for the coming week.",gebachallah.org ,,,,,A project of Lehachyois.org,,,,,,,,,,,,,,,,,,,,,
Lehachyois,Needy in Safed,"Israel
Cong. Lehacyois 51 Forest Rd #316-214 Monroe NY 10950","Tzfat, Israel",(718) 682.2005 ,,,"Rabbi Moshe Lustig
Rabbi Shlomo Katina",Lehacyois@gmail.com,"Supporting the needy in Tzfat, Israel. Shabbos boxes, yom tov boxes, kimcha d'pischa and matzos boxes.",lehachyois.org ,,,,,,,,,,,,,,,,,,,,,,,,,,
Yad Ezra V'Shulamit,Food,"20 Yoel St., Jerusalem, Israel",Israel,"02-540-0058
02-585-6002",USA: (866) 978-5049,,,feedisrael@yadezra.net,"Providing food for Israel's poor. Children's Centers, food baskets, clothing and supplies, feeding babies and Tfat Community Center.",yadezra.net ,https://www.facebook.com/Yadezraenglish ,https://www.instagram.com/yadezravshulamit/ ,https://twitter.com/yadezra_net ,,,,,,,,,,,,,,,,,,,,,,,
INTELLECTUAL/DEVELOPMENTAL NEEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkaynu,Midrasha and Yeshiva,"51 Leib Yaffe, Jerusalem Israel",Israel,526538132.0,02 671-0143,02-671-0144,Elana Goldscheider,mydarkaynu@gmail.com,"A Yeshiva for the Boys, a seminary for the girls in Israel in a mainstream setting for a year in Israel program.",https://darkaynu.org.il/,"Darkaynu programs, Midreshet Darkaynu",Darkaynu,Darkaynu,Darkaynu,Please contact us for more information,,,,,,,,,,,,,,,,,,,,,
Maalah,Child Development Center,"4403 15th Ave Suite 508, Brooklyn NY 11219",Israel,,,,,,"Free/subsidized therapy for mainstreamed children. Addresses delays at a young age and gives them the chance to live up to their full physical, mental, emotional and educational potential. Physical, music, occupational, reading, speech, emotional, vision and physiotherapy. Holistic action plans, case management and follow up.",maalah.org  ,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulam,School,"116 Sanhedria Hamurchevet, Jerusalem, 91181","Jerusalem, Beit Shemesh, Kiryat Yearim, Modiin Ilit",(00972) 02-633-8431,,077-3181792,Mrs Faigy Ernster - Founder,sulam@sulam.net,"Day schools, integrated daycare centers, communication centers, head start preschools and early intervention daycare. Providing therapy and services. For children ages 6 months to 17 years with intellectual and learning disabilities, motor dysfunction, emotional and developmental delays, ASD and combinations thereof. Zoom lectures in English available for professionals, parents and family members of children on the spectrum.",sulam.net ,https://www.facebook.com/SulamEducationCenters ,https://www.instagram.com/SulamEducationCenters/ ,,,,,,,,,,,,,,,,,,,,,,,,
PHYSICAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live The Pain,Chronic Pain,USA and Israel,USA and Israel,Israel: (972) 58-557-3778,,,"Ora Kalfa, MSW",info@livethepain.org,"A journey of discovery and empowerment. Innovative and scalable solutions to treat and prevent psychosocial distress for people living with pain, illness and medical trauma. Research and development, education and awareness, therapeutic groups, trained and certified international team.",livethepain.org ,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Kicking Cancer,Illness Support,"Moshe Dayan 47, Raanana, Israel",Israel,(058) 332-6637,,,,info@kidskickingcancer.org.il,"Using very effective techniques to reduce the suffering of kids dealing with cancer and other serious diseases. In each session, our specially trained Martial Arts instructors, teach techniques to relieve pain, stress and anxiety through traditional martial arts movement, breathing techniques and guided imagination.",kkci.online/en,facebook.com/kidskickingcancerisrael,instagram.com/kids_kicking_cancer_il/,,,,,,,,,,,,,,,,,,,,,,,,
Kumi Uri,Atopic Dermatitis (Eczema),,Israel,,,,R' Nosson Burstein,nb.kumiuri@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRENATAL / POSTPARTUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFRAT C.R.I.B,Prenatal and Postpartum Support ,"1274 49th St. Suite 569, Brooklyn, NY 11219",USA and International,(718) 697-7022 (24 Hour),,,Dr. Eli Schussheim,efrat@efrat.org.il,"Abortion and pregnancy awareness, prenatal consultations, emotional support, practical assistance and social work led guidance.  Providing financial assistance, baby kit, monthly baby packages, and monthly family food packages. Accepts donations.",en.efrat.org.il ,www.facebook.com/efratcrib,,,,,,,,,,,,,,,,,,,,,,,,,
Just Life,High-Risk Pregnancies ,"587 5th Ave.-Ste. 702, Ny 10017
16 King George St, Jerusalem, 91024, Israel","USA and
Israel",USA: (212) 683-6040,Israel: (02) 625-4973,,"Rabbi Marty Katz - NY
Chaya Katzin - Israel","NY: info@justonelife.org
Israel: nefesh@netvision.net.il","Serving a variety of challenges associated with pregnancies including complications due to unexpected and/or high-risk pregnancies and/or related or pre-existing medical, psychological and emotional conditions and financial difficulties.
Parenting, empowerment, mind/body, psychotherapy, supportive counselling, home visits, financial aid, client advocacy, referrals and more.",justonelife.org ,www.facebook.com/justonelifeisrael ,www.instagram.com/justonelifeisrael/ ,twitter.com/justonelife_il ,,,,,,,,,,,,,,,,,,,,,,,
SOCIAL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohr Hadassah,Support for Widows and Orphans,"Paran 4 Apartment 409 Ramat Eshkol, Jerusalem, Israel",Israel,Whatsapp: (054) 203-2178,(917) 284-9755,,Jennifer Esther Kotler,ohrhadassah@gmail.com,Providing personalized support for Anglo widows and orphans living in Israel.,https://ohrhadassah.org/,https://ohrhadassah.org/#,https://www.instagram.com/myhappyplace613/,,,,,,,,,,,,,,,,,,,,,,,,
UJA,Social Service Agency,"130 East 59th St, NY 10022
48 King George St, Jerusalem Israel 91071
6900 Jericho Turnpike, Suite 302 Syosset, NY 11791
925 Westchester Ave, Suite 200, White Plains, NY 10604
594 Dean St, Brooklyn NY 11238",USA and International,02-620-2053,(212) 980-1000,,Amy A. B. Bressman,IsraelOffice@ujafedny.org,"Social services, education and summer camps, advocacy, community work, responding anti-semitism and global crises and more.",ujafedny.org ,https://www.facebook.com/ujafedny ,https://www.instagram.com/ujafedny ,https://www.twitter.com/UJAfedNY ,https://www.linkedin.com/company/uja-federation-of-new-york ,,,,,,,,,,,,,,,,,,,,,,
Ze le Ze,Social Service Agency,"רשב""י 10 ,בית שמש",Israel,02-992-3707,,02-992-3708,,sh@zeleze.org,"The organization works for the welfare of orphans and widows, supports them and accompanies the families until full rehabilitation.",https://zeleze.org/,https://www.facebook.com/%D7%96%D7%94-%D7%9C%D7%96%D7%94-111602393666960/?ref=page_internal,https://www.instagram.com/invites/contact/?i=1ild7isgjaecl&utm_content=mj5gk9u,,,,,,,,,,,,,,,,,,,,,,,,
SPIRITUAL GROWTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eden Center,Taharas Hamishpacha,"2 Revadim St, Jerusalem 9339113",Israel,,,,Dr. Naomi Marmon Grumet,info@theedencenter.com,"Enabling all women to have a personally meaningful and welcoming experience in the mikveh, providing support and resources for crisis and lifecycle moments and transforming the mikveh into a vehicle to promote emotional and physical health, intimacy and well-being. Courses and events on labour, delivery and postpartum, tahara, menopause, Mikvah attendant training and kallah teacher training.",theedencenter.com ,https://www.facebook.com/theedencenter/ ,https://www.instagram.com/mercazeden/ ,,,"We have Haskamot from a range of Rabbinic authorities.
For details contact naomi@theEdenCenter.com",,,,,,,,,,,,,,,,,,,,,
Hineini,Technology Hotline,USA and International,USA and International,"USA: (302) HINEINI (446-3464)
UK: (443) 30-350-3131
Israel: (972) 2-370-1813",,,,,"Hotline where ordinary women find the strength to overcome technology challenges. Personal stories, 5-minute daily motivational sound bites, musical inspiration and direct technology shailah helpline.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPPORT GROUPS/NETWORKS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayit Cham,Mental Health,"HaRav Kahanman St 72, Bnei Brak",Israel,(1) (599) 510-550,,,Rabbi Shmuel Munk,office@bayit-cham.org.il,"Provides vocational rehabilitation centers, community clinics across Israel, mental health awareness through seminars, conferences and events, Sexual trauma treatment centers and post-trauma support.",bayit-cham.org.il ,https://www.bayit-cham.org.il/ ,,,https://www.bayit-cham.org.il ,,,,,,,,,,,,,,,,,,,,,,
Keren Ezra,Mental Health Referrals / Therapy,Israel,Israel,(055) 337-6552,,,Yehoshua King and Eliav Friedman MSW,INFO@KERENEZRA.COM,"Primarily for gap year yeshiva and seminary students. Therapy referrals, financial help for therapy, educating educators, Advanced Certificatiton and Training.",kerenezra.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Magen,Sexual Abuse,941 Givat Sharet 9910901,Israel,Hotline: 02-372-4073,,,"Shana Aaronson, Bs.",support@magen-Israel.org,"Raising awareness and promoting child-safety through educational events, creating and publishing resources for parents and educators, and through mainstream and social media. Advocates for survivors of sexual abuse and exploitation within their communities, institutions and through the justice system. Supports survivors of sexual abuse with therapeutic and communal resources, connecting them with mental health services, subsidized therapy, and support groups.",magen-israel.org ,https://www.facebook.com/magen.lotishtok/ ,https://www.instagram.com/magenforcommunities/?igshid=c7hfy88938t6 ,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hineini,Technology Hotline,USA and International,USA and International,"USA: (302) HINEINI (446-3464)
UK: (443) 30-350-3131
Israel: (972) 2-370-1813",,,,,"Hotline where ordinary women find the strength to overcome technology challenges. Personal stories, 5-minute daily motivational sound bites, musical inspiration and direct technology shailah helpline.",,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAUMA RELATED TO WAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
