,"The Givers' Guide is a Project Created and Coordinated by Frayde Yudkowsky, LSW, LMSW, CTP. The Givers' Guide is a constant work in progress. Please email any corrections, additions or changes to Hello@GiversGuide.org",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHEL,Domestic Abuse,"1268 East 14th Street Brooklyn, NY 11230 ",NY,(718) 851-6300,,,,access@ohelfamily.org ,"Confidential phone and email for victims of domestic abuse.  Services are free and include: trauma informed counseling, support groups, safe dwellings for families, case management, educational groups, events, workshops and retreats.",,ohelfamily.org ,facebook.com/ohelfamily,instagram.com/ohelfamily,twitter.com/ohelfamily,linkedin.com/company/ohel-children's-home-and-family-services ,,,,,,,,,,,,,,,,,,,,,,
Private Practice,Private practice,"87 Penn St., Brooklyn, NY 11249",Williamsburg,3476452214.0,3476452214.0,no fax,Self,fweinlcsw@gmail.com,"I take insurance in private practice for social work services.  My passion is for parenting, self growth, relationships and post traumatic intervention.",,https://care.headway.co/providers/feiga-weinstock?utm_source=pem&utm_medium=direct_link&utm_campaign=126747,N/A,N/A,N/A,https://www.linkedin.com/in/feigy-weinstock-7776191b6/,Change will happen regardless; you might as well be in control of what and how you change.,,,,,,,,,,,,,,,,,,,,,
Project HEAL by Amudim,Subsidized Therapy for Survivors of Sexual Abuse,"11 Broadway, Suite 1076 New York, NY 10004",USA ,(929) 425-8780,,(929) 425-8781,Rabbi Zvi Gluck,,Therapy subsidy program that makes professional therapeutic services accessible to victims of sexual abuse who otherwise would not be able to get therapy. The program is geared to support victims who are unable to pay for therapy on their own.,,projecthealusa.org ,www.facebook.com/amudimorg,www.instagram.com/amudim ,twitter.com/amudimorg,www.linkedin.com/company/amudim-community-resources-inc,,,,,,,,,,,,,,,,,,,,,,
Project S.A.R.A.H. - Stop Abusive Relationships At Home ,Domestic Abuse,"110 Main Avenue Passaic, NJ 07055",NJ,(973) 777-7638        Ext. 154 ,,,,projectsarah@jfsclifton.org ,"Offers services and resources for victims of domestic abuse. No cost counseling, support groups, emergency services and crisis intervention, psychiatric evaluations, shelters, advocacy, employment assistance and pro bono legal services. ",,https://jfsclifton.org/project-sarah-new/,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray of Hope ,Survivors of Sexual Abuse ,"Brooklyn, NY, Monsey, NY, Five Towns, NY, Far Rockaway, NY and Lakewood, NJ",NY/NJ and USA,(845) 600-1185,(646) 818-9547,,Deeni Teichman,info@rayofhopeus.org,"Support network for women ages 20-30 years-old who are survivors of sexual abuse. Twice monthly meetings hosting mental health professionals and Rabbis as speakers. Virtual and in-person groups available. Separate for single and married women. New group for men as well. Facilitated by Racheli Teichman, LCSW, Dr Aliza Rosenwasser, PSYD, Goldy Gorerelick, LCSW, Dr Tamar Perlman, PSY, Dr Shoshana Friedman, PHD, Devorah Goldman, LCSW and Dr Malky Mayerfeld, PSYD and Dr. Eli Mandelbaum, PsyD. Cost: $70/month. The group has a WhatsApp chat. Rabbinical backing. ",,rayofhopeus.org,,instagram.com/rayofhopeinstitute,,,"With the backing of R' Elya Brudny, R' Shalom Kaminetzky and R' Uri Deutsch",,,,,,,,,,,,,,,,,,,,,
Sacred Spaces,Jewish Institutions,USA,USA,,,,"Shira Berkovits, Esq, Ph.D.",info@jewishsacredspaces.org,"Partners with organizations to build their capacity to keep constituents safe from abuse and other exploitations of power. Readiness, assessment, policy development, training and education, implementation and maintenance and case consults.",,jewishsacredspaces.org,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Not Secret,Child Abuse Prevention/Sexual Education,USA,Web,,,,,,Sexual education course for parents. ,,get-intimate.mykajabi.com/SNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah's Voice ,Domestic Abuse,NY,NY,(347) 592-2124,,,"Kim Susser, ESQ",,"Legal assistance to victims of abuse; family offense/orders of protection, divorce, custody, visitation, child and spousal support and immigration relief. Referrals to housing, benefits, education, healthcare, employment and consumer finance. Confidential. No charge.",,shalomtaskforce.org/legal-services ,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalom Task Force,Domestic Abuse,"500 Seventh Avenue, 8th Floor New York, NY 10018",USA,(212) 742-1478,Confidential Hotline:                  (1888) 883-2323 Call/Text/WhatsApp,,"Dr. Shoshannah Frydman, Ph.D., LCSW",info@shalomtaskforce.org ,"Promoting Healthy Marriages and Peaceful Family Relationships. Confidential domestic abuse hotline, Sarah's Voice- legal services, educational program, community outreach, professional training and Shalom Workshops for couples. ",,shalomtaskforce.org ,www.facebook.com/ShalomTaskForceSTF,www.instagram.com/shalomtaskforce,,www.linkedin.com/company/shalom-task-force ,,,,,,,,,,,,,,,,,,,,,,
Shalva,Domestic Violence Abuse,"Chicago, IL",Chicago,(773) 583-4673,24/7 Help/Crisis Line: (773) 583-HOPE (4673),,,hope@shalvacares.org,Shalva offers confidential domestic abuse counseling services to the metropolitan Chicago Jewish community in a culturally sensitive and caring environment. Our clients receive free and individualized services for as long as needed.,,https://shalvacares.org/,facebook.com/ShalvaChicago,www.instagram.com/ShalvaChicago,,,,,,,,,,,,,,,,,,,,,,,,
SOVRI - The Support for Victims of Rape and Incest Helpline,Sexual Abuse,NY,USA,Helpline:                  (1888) 613-1613,,,"Chaya Mermerstein, LCSW and Cheryl Friedman, LCSW",,"Dedicated to providing culturally sensitive support and outreach to the Orthodox Jewish community on issues related to sexual abuse. We help, support, listen and provide resources to any person who chooses to call us. ",,mountsinai.org/locations/beth-israel/support/social-work/victim-services/sovri ,www.facebook.com/sovri,,,,The anonymous helpline is open Monday-Thursday 9:30am- 5:30pm and Friday 9:30am- 1:30pm. ,,,,,,,,,,,,,,,,,,,,,
Survivor Support Group,Male Survivors of Sexual Abuse,"Brooklyn, NY",NY,"Shaya Sussman, LCSW                      (516) 324-4945",,,"JCW/Shaya Sussman, LCSW",rivkak@jewishcommunitywatch.org,"In-person support group for male survivors of child sexual abuse. The group was created to a provide a support network and an outlet for interaction, guidance, help and advice. The group meets once a month in Brooklyn. Contact JCW or Shaya Sussman, LCSW for pricing, questions or to RSVP. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takanot Project,Sexual Abuse/Domestic Violence Abuse,"One Gustave L. Levy Place Box 1670 New york, NY 10029",,(212) 423-2140,,(212) 423-1021,,,"Free, confidential, religiously sensitive counseling and support services for Orthodox Jewish survivors of rape, incest, sexual abuse, and domestic violence.",,https://www.mountsinai.org/patient-care/service-areas/community-medicine/sexual-assault-and-violence-intervention-program-savi/services/takanot-program,,,,,,,,,,,,,,,,,,,,,,,,,,
Yad b'Yad Support Groups,Support Group,NJ,"Lakewood, NJ",(732) 806-5610,,,"Chana Schechter Au. D, Esti Berinstien",yadbyad40@gmail.com,"Groups meet monthly in Lakewood, NJ. Click to view the list of available groups. Clinical Advisors: Goldy Jaroslawicz LCSW. Blanca Klein LCSW. Groups are run by mental health professionals. ",,,,,,,Entered Dec 6th 2024,,,,,,,,,,,,,,,,,,,,,
ADDICTION SUPPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Meetings,AA Meetings,"63 Hillside Blvd, Lakwood, NJ 08701",NJ,(848) 238-0796,,,,,AA Meetings in Westgate - open to men or women in or seeking recovery.  Sundays at 830pm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA - Adult Children of Alcoholics and Dysfunctional Families ,Jewish Women's ACA Meeting,"14 Chelsea Road Jackson, NJ 08527",NJ,(732) 703-1191,,,,,"Jewish Women's ACA Meeting. Weekly on Wednesday Evenings from 8:30pm-9:30pm. ACA ia a meeting that is based on the 12 steps, which helps adult children from addictive or dysfunctional homes recover and heal and become the best version of themselves. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Anon,Jewish Women's Al-Anon Meeting,USA,USA and International,(425) 436-6332 - code 5047345#,,,,,"Tuesday evening at 8:00pm EST, call or video. For video click on link:
 https://join.freeconferencecall.com/lollie1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beit Teshuva,Community Center Supports Addiction,,,,,,,,,,beittshuvah.org,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthright Israel Recovery Trip,Free Trip To Israel for People in Recovery,,USA,   ,,,,,A free trip for Jewish people in recovery. The Recovery trip aims to reconnect young people in recovery or impacted by an addiction with their Jewish heritage and reclaim their role as active members in the Jewish community. Go to their website to learn more or apply to participate.,,https://www.israelfreespirit.com/trip/recovery/,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSA - Communities Confronting Substance Abuse,Addiction Support,NJ ,NJ,,,,Lianne and Etiel Forman,time2talkaddiction@gmail.com ,"CCSA operates under the goal of creating stigma-free Jewish communities through awareness, education and prevention programming regarding substance use and addiction. In 2023, CCSA joined Ohel Children's Home and Family Services, to better service the needs of the Jewish community.",,time2talkaddiction.org ,www.facebook.com/pages/category/Charity-Organization/Communities-Confronting-Substance-Abuse-Inc,,,,,,,,,,,,,,,,,,,,,,,,,
CCSA - Communities Confronting Substance Abuse,Addiction Education,"1126 East Laurelton Pkwy. Teaneck, NJ 07666",NJ,,,,Lianne and Etiel Forman,info@jewishccsa.org,"Offers education to schools, parents, and communities about substance use",,jewishccsa.org,facebook.com/JewishCCSA,instagram.com/jewishccsa,twitter.com/jewishccsa,linkedin.com/company/ccsa-communities-confronting-substance-use-and-addiction,,,,,,,,,,,,,,,,,,,,,,
CCSA - Communities Confronting Substance Abuse,Family Support for Addiction,Virtual,Virtual,,,,Lianne and Etiel Forman,info@jewishccsa.org,Support group for loved ones of those struggling with substance use or addiction. Meetings every other Wednesday 8:15pm (EST) via Zoom. Email to join.,,jewishccsa.org/support-group,,,,,,,,,,,,,,,,,,,,,,,,,,
Chabad Treatment Center,Addiction Recovery ,LA ,CA,(323) 965-1365,,,,info@chabadrehab.com,"We are a nonprofit org helping clients free themselves from substance abuse, connect to their spirituality & build meaningful lives.",,chabadrehab.com,facebook.com/ChabadTreatmentCenter,instagram.com/chabadrehab,,,Accepts Medicaid,,,,,,,,,,,,,,,,,,,,,
Clear Present Recovery (CPR),Substance Abuse Disorder Recovery,"Lakewood, NJ ",NJ,(800) 283-4416,Call/Text/Whatsapp: (732) 484-9188,,"Chanoch Krohn, LCSW
Motti Osias, CADC
Avrohom Green, LCSW
Miriam Handelsman, LCSW
Binyomin Segal, LCSW",info@cprrecoveryplan.com,"Dedicated recovery professional will formulate a clear recovery plan based on your life, your values and your needs. Weekly sessions with your recovery specialist, bi-weekly sessions for your family members with their own recovery specialist, random drug testing through our third party services - Quest Diagnostics, video verified breathalyzer testing twice daily and vocational assistance. Also providing legal assistance and more.",,cprrecoveryplan.com ,,,,,"Under spiritual counseling of:
Rabbi Bentzion Shafier, Rabbi Dovid Goldwasser, Rabbi Shmuel Meir Katz, Rabbi Avraham Notis, Rabbi Zalman Sorotzkin and Rabbi Yisrael Goldblatt.",,,,,,,,,,,,,,,,,,,,,
Dov's Desperados - 12-Step phone conference,12 Steps group,,USA,917-719-6821,,,,phonemeetings@guardyoureyes.org,"This 12-step phone conference is designed for those who have struggled with addiction for some time and have already tried various methods to stop without success. If you're new to recovery or haven't yet tried other GYE tools, this might not be the right starting point for you.",,,,,,,Calls will be held on Sundays and Thursdays between 12-1pm Eastern Time.,,,,,,,,,,,,,,,,,,,,,
Evolutions Treatment Center,Addiction Recovery ,Miami and Ft. Lauderdale,FL,(305) 882-9360 (Miami)   (954) 915-7444  (Ft. Lauderdale),833-818-3031 (24/7 Admissions),,Gedale Fenster,info@evolutionstreatment.com,"A compassionate source of quality alcohol, substance use disorder, and behavioral health treatment. Inpatient detoxification and residential treatment to a varied array of outpatient services tailored to our clients needs.",,evolutionstreatment.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Exodus Group,12 Steps group,570 W. Walnut St. Long Beach NY 11561,NY,,,,,info@chabadofthebeaches.com,"Recovery meeting and supportive community informed by the 12 steps of AA combined with Jewish spirituality, philosophy and tradition. Men and women ages 25+ who wish to be freed from addiction.  Tuesday at 7:30pm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendship House,Addiction Support for Families and AA Meetings,"West Bloomfield, MI",MI,,,,,,"The Daniel B. Sobel Friendship House provides support and guidance to individuals and families struggling with isolation and other life crises, such as addiction, through a welcoming Jewish recovery community that offers friendship, support, and a variety of programs and meetings that facilitate lasting success.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guard Your Eyes ,Pornography Addiction ,Website ,USA and International,(646) 600-8100,,,,help@guardyoureyes.org ,"Helps those struggling with a pornography problem to find the freedom they deserve. Provides free and anonymous help for all levels of the struggle. Resources, program, inspiration, daily WhatsApp boost, chat rooms, filters, articles and guidance.",,guardyoureyes.com ,,,,www.linkedin.com/company/guard-your-eyes ,,,,,,,,,,,,,,,,,,,,,,
Guard Your Eyes ,"Pornography Addiction 
SMART Recovery Live Meetings",Website ,"Lakewood, NJ
Brooklyn, NY",(646) 600-8100,,,,"smartbrooklyn@guardyoureyes.org
smartlakewood@guardyoureyes.org","Meetings will be led by a certified SMART recovery facilitator who also has personal experience with the 12-Step Program, and is also a long time GYE member.",,smartrecovery.org,,,,www.linkedin.com/company/guard-your-eyes ,,,,,,,,,,,,,,,,,,,,,,
"JACs - Jewish Alcoholics, Chemically Dependent Persons and Significant Others ",Addiction Recovery ,NY - Five Boroughs and Metropolitan Area,NY and Online,(212) 632-4600,,(212) 399-3525,,jacs@jbfcs.org ,"JACs offers virtual and in-person support, resources and information to assist Jewish people struggling with alcoholism or addiction and their friends/families. JACS also has a Warm Line that is operated by volunteers from the Jewish recovery community.",,jewishboard.org/listing/jewish-alcoholics-chemically-dependent-persons-and-significant-others-jacs ,www.facebook.com/pages/Jacs-Jewish-Alcoholics,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Addiction Awareness Network,Addiction Recovery and Support,"1037 NE 65th St., #415
Seattle, WA 98115","WA, CA",(206) 536-0038,,,Marla Kaufman,info@jaanetwork.org,"The Jewish Addiction Awareness Network (JAAN) connects families and individuals to information, support, tools, and Jewish perspectives to help them face addiction and work toward recovery. JAAN offers a variety of programs including community events, online programs, educational events, direct assistance for families, meaningful Shabbat and Jewish holiday services, consultation services, and 12 step meetings.",,jaanetwork.org,https://www.facebook.com/Jewish-Addiction-Awareness-Network-100908694626062/,https://www.instagram.com/jaanetwork,,https://www.linkedin.com/company/18686810/admin/,,,,,,,,,,,,,,,,,,,,,,
Jewish Board - Recovery Support Group,12 Step Meetings,Zoom,NYC,(347) 735-0583,,,,JCSrecovery@jbfcs.org,12 Step Meetings over Zoom.,,,,,,,Entered Dec 6th 2024,,,,,,,,,,,,,,,,,,,,,
JCS Recovery,Jewish Community Services,NY - Five Boroughs and Metropolitan Area,NY and Online,(212) 632-4600,"Warm Line by Jewish 12-Steppers
(646) 573-7420",(212) 399-3525,,jacs@jbfcs.org ,"Serves Individuals and families struggling with Addiction, They offer tailored recovery services to adults and families of all races, ethnicities, religions, gender expressions, and sexual orientations. Services include, free or low-cost options regardless of medical coverage, connection to a healing community, support for all addiction categories, virtual and in-person options.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Recovery Center - JRC,Addiction Recovery and Support,South Florida,FL,(561) 706-7296,Column 1,Column 2,Rabbi Meir Kessler,info@jewishrecoverycenter.com,"The Jewish Recovery Center is as a key resource for Jewish addicts in recovery, their families and the recovering Jewish community in Palm Beach County. We offer referrals, screenings and emergency placement for detox, as well as aftercare management including our sober house for those completing in-patient treatment.",Column 3,jewishrecovery.com,Column 4,Column 5,Column 6,Column 7,Column 8,,,,,,,,,,,,,,,,,,,,,
KALL SHEA,Anonymous 24-hour Hotline,USA,USA/ Israel/ Online,(866) 575-0480,,,,info@jewsinrecovery.org,"Here to offer you a hand as recovering addicts that have already been there. No fees, dues or costs associated with the program. ",,https://www.jewsinrecovery.org/,https://facebook.com/sharer/sharer.php?u=https://www.jewsinrecovery.org,,https://twitter.com/intent/tweet?url=https://www.jewsinrecovery.org,https://www.linkedin.com/shareArticle?mini=true&url=https://www.jewsinrecovery.org,,,,,,,,,,,,,,,,,,,,,,
Lakewood Recovery Group,12-Step Meeting ,"Lakewood, NJ ",NJ,(732) 447-4193,,,,,Weekly 12-step meeting for men. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madraigos ,Teens and Families in Crisis,"936 Broadway Woodmere, NY 11598",USA,(516) 371-3250,,(516) 612-4515,Rabbi Dov Silver and Mrs. Sharon Gross,info@madraigos.org ,"Madraigos offers a wide array of innovative services and programs geared towards empowering teens, young adults, and families to overcome life’s challenges one step at a time. Behavioral health referrals, 24-hour support line, assessments/referrals, case management, crisis intervention, support groups, community education, parenting groups, educational enhancement program, job placement program, school-based services, Holiday Retreats, the Lounge and year round events.  Additionally we work with local Yeshivos and Day Schools to educate and support students and give them the foundations for a brighter future. We also offer parent lecture series and professional development programming that foster healthy environments for our children.

",,madraigos.org ,facebook.com/Madraigos,instagram.com/madraigos/,twitter.com/madraigos,linkedin.com/company/madraigos ,,,,,,,,,,,,,,,,,,,,,,
Makor (Mekor Hayim Center),Recovery Center,"Flatbush Brooklyn NY, Deal NJ",New York and New Jersey,718-564-9345,718-564-9345,NA,"Rabbi Moses Haber, LMSW",RabbiMosesHaber@gmail.com,"Makor is a recovery center that provides an added layer of support for those in recovery from addiction. We provide Torah classes, fellowship dinners, support groups, referrals for men in recovery as well as support for the spouse. Makor is 12 step friendly and not a substitute for treatment.",,www.MakorNY.com,NA,NA,NA,Na,A registered non profit 501(c)(3) donations can be made through JCF/Fidelity or www.MakorNY.com/donate,,,,,,,,,,,,,,,,,,,,,
Monsey Steps to Solvency,Debtors Anonymous,"19 Robert Pitt, Suite 113 Monsey, NY 10952",NY,(800) 421-2383,(781) 453-2743,,,,Tuesday evening from 7:30pm-8:30pm. A weekly open English Debtors Anonymous meeting focusing on the steps and tools of the DA program. The location is handicap accessible. ,,debtorsanonymous.org,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Recovery,Addiction Recovery and Support,5904-A Warner Avenue #241             Huntington Beach CA 92649,CA,(888) 989-2719,,,,,"Our addiction treatment services and dual diagnosis treatment options are here to handle both substance abuse and mental illness issues. The services we offer help to address the problem of addiction at each level. Such a span of services works towards helping our clients find recovery that will last. The programs that focus on mental, physical, and emotional health",,morningsiderecovery.com,facebook.com/morningsiderecovery,instagram.com/morningsiderecovery,twitter.com/morningside,,,,,,,,,,,,,,,,,,,,,,,
Nevonim,Mental Health and Addition Support,"186 Jumping Brook Dr.  Toms River, NJ 08755",Worldwide,272-NEVONIM (638-6646),,,Rabbi Oizy Babad,Info@JewishCCSA.org,"Nevonim is a family of 1:1 guides and care managers serving young adults in crisis on their journey toward recovery, healing, and self-actualization.",,nevonim.org,facebook.com/NevonimListens,instagram.com/nevonimlistens,,,https://youtube.com/@NevonimListens,,,,,,,,,,,,,,,,,,,,,
Oasis Awakening Souls,Metal healtg,Lakewood NJ 08701,190 Ocean Ave,8489922726.0,8489922726.0,N/a,Yisroel Fass,Info@oasisawakeningsouls.com,"Free group therapy, yoga and breathwork",,Oasisawakeningsouls.com,N/A,https://www.instagram.com/oasisawakeningsouls,N/A,N/A,For men over 20,,,,,,,,,,,,,,,,,,,,,
OHEL Jaffa Family Campus ,Substance Abuse Treatment Program,"1268 East 14th Street Brooklyn, NY 11230 ",NY,(1800) 603-OHEL,Crisis Response Team Hotline: (718) 686-3165,,,access@ohelfamily.org ,"Substance abuse treatment program. Men's, Women's and Teen program,  In person and tele-health option.",,ohelfamily.org ,facebook.com/ohelfamily,instagram.com/ohelfamily,twitter.com/ohelfamily,linkedin.com/company/ohel-children's-home-and-family-services ,,,,,,,,,,,,,,,,,,,,,,
Operation Survival ,Addiction Support,"824 Eastern Parkway Brooklyn, NY 11213","Brooklyn, NY ",(718) 735-0200        Ext. 230,,,,info@operationsurvival.org ,"Student assistance, classroom presentations, parenting workshops, partner with law enforcement, community education events, health fairs, public awareness campaigns, professional education, referrals and walk-in information services. ",,operationsurvival.org ,www.facebook.com/OperationSurvivalNY,,www.twitter.com/opsurvival,,,,,,,,,,,,,,,,,,,,,,,
Our Village Sober Living,Sober Living Home for Males,"Monsey, NY",USA,(347) 693-0928,,,"Sony Perlman, LMSW",sonyperlman@gmail.com,"12-bed sober living facility designed to ensure that young Jewish men ages 18+, regardless of financial ability, successfully transition to sustainable sober living after returning from drug rehabilitation centers. Structured clinical, educational, and/or occupational goals. Spacious grounds. 3 fresh kosher meals daily. Rabbi on staff. ",,,,,,,An Our Place project. ,,,,,,,,,,,,,,,,,,,,,
Our Village sober living-Women’s division,Sober living for women,"65 Wesley Chapel Rd, Suffern NY, 10901 USA",USA,845-587-2520,8455872520.0,,Yocheved Bacher,Chevkb73@gmail.com,Sober living for post rehab women with focus on strong recovery and transitioning into life in a healthy sober stable way,,Ourvillage.org,Our village,Our village,,,Updated: Sept 1st 2025        A beautiful kosher sober living home that offers support and love at a critical time in life and recovery from addiction.,,,,,,,,,,,,,,,,,,,,,
Oy Therapy,Addiction Support,"Lakewood NJ,",USA and International,(202) 798-1123,,,Yechiel Aharonof,yechieltherapy@gmail.com,"Teatment for sex, pornogrpahy, drug and Alcohol Addiction for Male Teens and Young Adults. Individualized psychotherapy for Addictions and Trauma, Monthly Webinars on learning how to break free",,Oytherapy.com,,,,www.linkedin.com/in/yechiel-aharonof-7a052b240,"Haskamos: From R' Uri Deutch, and R' Mendel Eichenstein
Updated on Sept 2nd 2025
",Private pay,,,,,,,,,,,,,,,,,,,,
